Node: name, rank, group, cnt, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, number, None, None, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, None, None, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, birth_year, group, cnt, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, gender, group, cnt, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, ethnicity, group, cnt, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, number, group, avg, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, number, group, sum, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, number, group, cnt, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, group, avg, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, group, sum, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, group, cnt, orderY, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, None, None, None, pie, 0.006998589852902728 Score: 1.9460019504947637 Less Than: 57
Node: name, rank, None, None, orderY, pie, 0.006998589852902728 Score: 1.9460019504947637 Less Than: 57
Node: name, number, None, None, None, pie, 0.006266246550870621 Score: 0.6440291425853842 Less Than: 55
Node: name, number, None, None, orderY, pie, 0.006266246550870621 Score: 0.6440291425853842 Less Than: 55
Node: name, birth_year, group, cnt, None, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, gender, group, cnt, None, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, ethnicity, group, cnt, None, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, number, group, cnt, None, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, rank, group, cnt, None, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, birth_year, group, cnt, orderY, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, gender, group, cnt, orderY, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, ethnicity, group, cnt, orderY, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, number, group, cnt, orderY, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: name, rank, group, cnt, orderY, pie, 0.003607826971496062 Score: 0.05411740457244099 Less Than: 45
Node: birth_year, number, None, None, None, line, 0.0 Score: 0 Less Than: 0
Node: birth_year, rank, None, None, None, line, 0.0 Score: 0 Less Than: 0
Node: number, rank, None, None, None, line, 0.0 Score: 0 Less Than: 0
Node: rank, number, None, None, None, line, 0.0 Score: 0 Less Than: 0
