Price,Place,Beds,Bath,Sq.Ft
415000,Douglas Glen Gardens,3,2.5,1314
325000,Skyview Ranch,2,2,943
645000,Varsity,4,1.5,1258
275000,Somerset,2,1,843
548000,Huntington Hills,3,2,1152
824900,Cougar Ridge,5,3.5,2098
1299600,Inglewood,6,4,2093
475000,Seton,2,2.5,1389
298800,Sherwood,2,2,831
318000,Brentwood,1,1,562
575000,Bankview,2,3,1081
1190000,Rocky Ridge,4,3.5,2646
560000,Saddle Ridge,3,2.5,1501
899900,Banff Trail,4,2,1296
549999,Macewan Glen,4,2,887
385000,Whitehorn,3,1.5,903
745000,Shawnee Slopes,5,3.5,2730
775000,Chaparral,4,3.5,2127
300000,Highland Park,2,2,1043
325000,Saddle Ridge,2,2,933
1150777,Crestmont,4,4.5,2870
359900,Walden,2,2,786
359900,Redstone,2,2.5,1127
2000000,South CA,3,2.5,1934
2075000,Lake Bonavista,5,2.5,3305
439900,Evergreen,2,2,1060
1999900,Hounsfield Heights/Briar Hill,4,4.5,2908
459900,Hillhurst,2,2,733
299900,Brae Glen West,4,2.5,1512
349000,Pineridge,3,1.5,1005
675000,Strathcona Park,4,3,1145
364832,Midnapore,2,2,890
339900,Beltline,1,1,775
1675000,Douglasdale/Glen,5,4.5,3651
210000,Chinook Park,2,1,853
510000,Panorama Hills,3,2.5,1158
1698000,Eagle Ridge,2,2,2046
750000,Spruce Cliff,5,2,1145
995000,Rutland Park,6,2,1336
329900,Saddle Ridge,2,2,971
949900,Tuscany,4,3.5,2246
769000,West Hillhurst,3,2.5,1711
285000,Evergreen,2,1,845
299900,Skyview Ranch,2,2,800
539000,Currie Barracks Axess,3,2.5,1197
599900,Tuscany,4,2,1003
629900,New Brighton,3,3.5,1873
350000,Bridgeland/Riverside,2,2,877
365000,Mosaic Montage,2,2,1163
688000,Panorama Hills,4,3.5,1138
1899900,West Hillhurst,4,4.5,2330
357500,Mahogany,2,2,910
624900,Auburn Bay,3,2.5,1556
719000,Capitol Hill,4,3.5,1628
849988,Belvedere,5,4,2482
579000,Currie Barracks,2,2,1162
399999,Beddington Heights,2,1.5,1165
449000,Coventry Hills,3,2,859
165000,Beltline,1,1,763
849900,Lake Bonavista,4,3,1446
750000,Tuscany,4,3.5,1831
214900,Haysboro,1,1,509
255000,Haysboro,1,1,704
389000,Renfrew,4,2.5,1394
754000,Dalhousie,4,2.5,1366
224900,Southwood,2,1,802
389000,Classics,2,2,1407
224800,Manchester,1,1,687
370000,Everstone Place,2,2,941
329900,Saddle Ridge,2,2,923
798000,Cedarbrae,4,2.5,1306
419900,Deer Ridge,3,1,839
334900,Parkhill,2,2,690
495000,Valley Ridge,2,2,1468
465000,Harvest Hills,3,3,1006
265000,Bridlewood,2,1,842
809000,Carrington,3,2.5,2220
449900,Beltline,2,2,1028
285000,Legacy,2,2,625
949900,West Hillhurst,2,2.5,2053
335000,Renfrew,2,1,780
614999,Whitehorn,5,2.5,974
435000,Lower Mount Royal,2,2,1172
429900,Mosaic Of Aspen Hills,2,1.5,920
500000,Hillhurst,3,1.5,966
650000,Cranston,3,2.5,1775
409000,Beltline,2,2,1011
874900,Richmond,4,3.5,1780
279900,Lower Mount Royal,2,1,766
